Entity,Code,Day,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k
Afghanistan,AFG,2020-01-01,-0.0018064381,0.05752663,-0.050885897
Afghanistan,AFG,2020-01-06,-0.0018074991,0.057553764,-0.050832693
Afghanistan,AFG,2020-01-13,-0.0018182845,0.058627747,-0.050885897
Afghanistan,AFG,2020-01-20,0.005482105,0.093641944,-0.059287913
Afghanistan,AFG,2020-01-27,0.017585743,0.095850155,-0.04682539
Afghanistan,AFG,2020-02-03,0.00606486,0.09112212,-0.10042024
Afghanistan,AFG,2020-02-10,0.0055912435,0.09563706,-0.11133639
Afghanistan,AFG,2020-02-17,0.0029821382,0.10044533,-0.12778613
Afghanistan,AFG,2020-02-24,0.0045187804,0.09045278,-0.12073569
Afghanistan,AFG,2020-03-02,-0.036990393,0.06836246,-0.26763237
Afghanistan,AFG,2020-03-09,-0.017497623,0.13830265,-0.2665828
Afghanistan,AFG,2020-03-16,0.07712728,0.28161657,-0.15004948
Afghanistan,AFG,2020-03-23,-0.047780912,0.15442064,-0.16289063
Afghanistan,AFG,2020-03-30,-0.042200927,0.0995547,-0.16343762
Afghanistan,AFG,2020-04-06,0.03402519,0.12068594,-0.22125474
Afghanistan,AFG,2020-04-13,-0.010851847,0.1501556,-0.16192251
Afghanistan,AFG,2020-04-20,-0.029099677,0.15876633,-0.19468647
Afghanistan,AFG,2020-04-27,-0.020786848,0.18411678,-0.19993155
Afghanistan,AFG,2020-05-04,0.058434427,0.2450338,-0.08584889
Afghanistan,AFG,2020-05-11,0.077006795,0.25033844,-0.070185
Afghanistan,AFG,2020-05-18,0.16007408,0.3296398,-0.055652115
Afghanistan,AFG,2020-05-25,0.16339193,0.41469195,-0.012282315
Afghanistan,AFG,2020-06-01,0.15256344,0.50979,0.007742333
Afghanistan,AFG,2020-06-08,0.35639575,0.66241443,0.06331895
Afghanistan,AFG,2020-06-15,0.5495602,0.7504767,0.09392771
Afghanistan,AFG,2020-06-22,0.57066476,0.7028712,0.09323168
Afghanistan,AFG,2020-06-29,0.43190697,0.53256583,0.073493086
Afghanistan,AFG,2020-07-06,0.44152406,0.53697586,0.109983705
Afghanistan,AFG,2020-07-13,0.33111677,0.5131916,0.11226646
Afghanistan,AFG,2020-07-20,0.32965714,0.50465757,0.12364111
Afghanistan,AFG,2020-07-27,0.27883378,0.50147885,0.12917946
Afghanistan,AFG,2020-08-03,0.25728038,0.38491353,0.06595618
Afghanistan,AFG,2020-08-10,0.18186675,0.34549874,0.026128443
Afghanistan,AFG,2020-08-17,0.34174195,0.43960685,0.0647157
Afghanistan,AFG,2020-08-24,0.4249258,0.4249258,0.04421887
Afghanistan,AFG,2020-08-31,0.34680867,0.34680867,0.01878216
Afghanistan,AFG,2020-09-07,0.19413611,0.27569634,0.03267106
Afghanistan,AFG,2020-09-14,0.17832075,0.27305913,0.03311766
Afghanistan,AFG,2020-09-21,0.14078636,0.2925743,0.03322297
Afghanistan,AFG,2020-09-28,0.18247677,0.32920483,0.035868064
Afghanistan,AFG,2020-10-05,0.15310922,0.29994446,0.035102997
Afghanistan,AFG,2020-10-12,0.23992899,0.38111535,0.06568419
Afghanistan,AFG,2020-10-19,0.255638,0.38410944,0.050620917
Afghanistan,AFG,2020-10-26,0.24266301,0.46884364,0.07311454
Afghanistan,AFG,2020-11-02,0.29939625,0.4188589,0.06428856
