Entity,Code,Year,Gini coefficient
Albania,ALB,1996,0.27010342
Albania,ALB,2002,0.3173898
Albania,ALB,2005,0.30595654
Albania,ALB,2008,0.2998467
Albania,ALB,2012,0.28960484
Albania,ALB,2014,0.34598896
Albania,ALB,2015,0.32753733
Albania,ALB,2016,0.33736297
Albania,ALB,2017,0.33055663
Albania,ALB,2018,0.30148283
Albania,ALB,2019,0.30115768
Albania,ALB,2020,0.2941963
Algeria,DZA,1988,0.40194908
Algeria,DZA,1995,0.35330054
Algeria,DZA,2011,0.27615732
Angola,AGO,2000,0.5195689
Angola,AGO,2008,0.42715514
Angola,AGO,2018,0.5127211
Argentina (urban),,1980,0.4083086
Argentina (urban),,1986,0.42808887
Argentina (urban),,1987,0.45276365
Argentina (urban),,1991,0.4676174
Argentina (urban),,1992,0.45468092
Argentina (urban),,1993,0.44856286
Argentina (urban),,1994,0.45916805
Argentina (urban),,1995,0.48904404
Argentina (urban),,1996,0.4952443
Argentina (urban),,1997,0.49110475
Argentina (urban),,1998,0.50733644
Argentina (urban),,1999,0.49792042
Argentina (urban),,2000,0.51063955
Argentina (urban),,2001,0.53343105
Argentina (urban),,2002,0.5379376
Argentina (urban),,2003,0.5089716
Argentina (urban),,2004,0.48377034
Argentina (urban),,2005,0.47707355
Argentina (urban),,2006,0.4634608
Argentina (urban),,2007,0.46173558
Argentina (urban),,2008,0.4487679
Argentina (urban),,2009,0.43654197
Argentina (urban),,2010,0.43583217
Argentina (urban),,2011,0.42645282
Argentina (urban),,2012,0.41326198
Argentina (urban),,2013,0.40945444
Argentina (urban),,2014,0.4163279
Argentina (urban),,2016,0.42032528
Argentina (urban),,2017,0.4113449
Argentina (urban),,2018,0.413425
Argentina (urban),,2019,0.4290585
Argentina (urban),,2020,0.42343357
Argentina (urban),,2021,0.42005128
Armenia,ARM,1996,0.44418624
Armenia,ARM,1999,0.36219725
Armenia,ARM,2001,0.3536436
Armenia,ARM,2002,0.34779674
Armenia,ARM,2003,0.33028087
Armenia,ARM,2004,0.37505633
Armenia,ARM,2005,0.35992354
Armenia,ARM,2006,0.29709986
Armenia,ARM,2007,0.31226057
Armenia,ARM,2008,0.2918814
Armenia,ARM,2009,0.2801588
Armenia,ARM,2010,0.29992583
Armenia,ARM,2011,0.29352945
Armenia,ARM,2012,0.29602262
Armenia,ARM,2013,0.30579662
Armenia,ARM,2014,0.3148329
Armenia,ARM,2015,0.32356772
Armenia,ARM,2016,0.32547948
Armenia,ARM,2017,0.3362184
Armenia,ARM,2018,0.344335
Armenia,ARM,2019,0.30031213
Armenia,ARM,2020,0.25131604
Armenia,ARM,2021,0.2794013
Australia,AUS,1981,0.31325787
Australia,AUS,1985,0.32497686
Australia,AUS,1989,0.33153835
Australia,AUS,1995,0.3258199
Australia,AUS,2001,0.33464798
Australia,AUS,2003,0.33500516
Australia,AUS,2004,0.3305741
Australia,AUS,2008,0.3542851
Australia,AUS,2010,0.34656727
Australia,AUS,2014,0.34399432
Australia,AUS,2016,0.3368581
Australia,AUS,2018,0.34333763
Austria,AUT,1994,0.3082802
Austria,AUT,1995,0.29914328
Austria,AUT,1996,0.29317808
Austria,AUT,1997,0.29065368
Austria,AUT,1998,0.31340772
Austria,AUT,1999,0.2967054
Austria,AUT,2000,0.28964692
Austria,AUT,2003,0.29466078
Austria,AUT,2004,0.2978899
Austria,AUT,2005,0.28715435
Austria,AUT,2006,0.29587582
Austria,AUT,2007,0.30579996
Austria,AUT,2008,0.30437386
Austria,AUT,2009,0.31496233
Austria,AUT,2010,0.30252263
Austria,AUT,2011,0.3080167
Austria,AUT,2012,0.30476317
Austria,AUT,2013,0.30753133
Austria,AUT,2014,0.30535683
Austria,AUT,2015,0.30532774
Austria,AUT,2016,0.30797073
Austria,AUT,2017,0.29737586
Austria,AUT,2018,0.3084879
Austria,AUT,2019,0.30211553
Austria,AUT,2020,0.29801792
Azerbaijan,AZE,1995,0.34650284
Azerbaijan,AZE,2001,0.36454937
Azerbaijan,AZE,2002,0.25277665
Azerbaijan,AZE,2003,0.2683288
Azerbaijan,AZE,2004,0.26621592
Azerbaijan,AZE,2005,0.26554906
Bangladesh,BGD,1983,0.2587649
Bangladesh,BGD,1985,0.26917496
Bangladesh,BGD,1988,0.28846547
Bangladesh,BGD,1991,0.27570805
Bangladesh,BGD,1995,0.32942984
Bangladesh,BGD,2000,0.33406532
Bangladesh,BGD,2005,0.33201292
Bangladesh,BGD,2010,0.3213032
Bangladesh,BGD,2016,0.32385272
Bangladesh,BGD,2022,0.3176719
Belarus,BLR,1993,0.2160372
Belarus,BLR,1995,0.2876173
Belarus,BLR,1998,0.3201835
Belarus,BLR,1999,0.31738147
Belarus,BLR,2000,0.31167483
Belarus,BLR,2001,0.30576724
Belarus,BLR,2002,0.30336243
Belarus,BLR,2003,0.28821012
Belarus,BLR,2004,0.26479885
Belarus,BLR,2005,0.2755341
Belarus,BLR,2006,0.28275442
Belarus,BLR,2007,0.2961238
Belarus,BLR,2008,0.27826044
Belarus,BLR,2009,0.27689305
Belarus,BLR,2010,0.285666
Belarus,BLR,2011,0.2715255
Belarus,BLR,2012,0.26526198
Belarus,BLR,2013,0.26575053
Belarus,BLR,2014,0.27176666
Belarus,BLR,2015,0.25633225
Belarus,BLR,2016,0.25306615
Belarus,BLR,2017,0.2544457
Belarus,BLR,2018,0.25240526
Belarus,BLR,2019,0.25277847
Belarus,BLR,2020,0.24383356
Belgium,BEL,1985,0.2520385
Belgium,BEL,1988,0.25714684
Belgium,BEL,1992,0.24951877
Belgium,BEL,1995,0.28412268
Belgium,BEL,1997,0.26832563
Belgium,BEL,2000,0.3313756
Belgium,BEL,2003,0.28143948
Belgium,BEL,2004,0.30541503
Belgium,BEL,2005,0.2933733
Belgium,BEL,2006,0.28054497
Belgium,BEL,2007,0.29237974
Belgium,BEL,2008,0.2837401
Belgium,BEL,2009,0.2855135
Belgium,BEL,2010,0.2837519
Belgium,BEL,2011,0.28060696
Belgium,BEL,2012,0.27491096
Belgium,BEL,2013,0.276692
Belgium,BEL,2014,0.28134146
Belgium,BEL,2015,0.27729464
Belgium,BEL,2016,0.27580982
Belgium,BEL,2017,0.27387968
Belgium,BEL,2018,0.27214414
Belgium,BEL,2019,0.27219802
Belgium,BEL,2020,0.2595833
Belize,BLZ,1993,0.60253984
Belize,BLZ,1994,0.6090843
Belize,BLZ,1995,0.5755428
Belize,BLZ,1996,0.56593686
Belize,BLZ,1997,0.6042532
Belize,BLZ,1998,0.5490603
Belize,BLZ,1999,0.53262764
Benin,BEN,2003,0.385782
Benin,BEN,2011,0.43439707
Benin,BEN,2015,0.47755915
Benin,BEN,2018,0.37948644
Bhutan,BTN,2003,0.40898
Bhutan,BTN,2007,0.3809077
Bhutan,BTN,2012,0.38809326
Bhutan,BTN,2017,0.3744141
Bhutan,BTN,2022,0.2845992
Bolivia,BOL,1997,0.5816443
Bolivia,BOL,1999,0.58097047
Bolivia,BOL,2000,0.61639917
Bolivia,BOL,2001,0.57398796
Bolivia,BOL,2002,0.5931104
Bolivia,BOL,2004,0.5500987
Bolivia,BOL,2005,0.58527935
Bolivia,BOL,2006,0.5666768
Bolivia,BOL,2007,0.5453707
Bolivia,BOL,2008,0.5081608
Bolivia,BOL,2009,0.49222964
Bolivia,BOL,2011,0.46080953
Bolivia,BOL,2012,0.46581927
Bolivia,BOL,2013,0.47589034
Bolivia,BOL,2014,0.47830656
Bolivia,BOL,2015,0.46732494
Bolivia,BOL,2016,0.45244002
Bolivia,BOL,2017,0.44618952
Bolivia,BOL,2018,0.42579758
Bolivia,BOL,2019,0.41644758
Bolivia,BOL,2020,0.43645486
Bolivia,BOL,2021,0.40913323
Bolivia (urban),,1990,0.42035723
Bolivia (urban),,1992,0.49110052
Bosnia and Herzegovina,BIH,2001,0.2996645
Bosnia and Herzegovina,BIH,2004,0.3403749
Bosnia and Herzegovina,BIH,2007,0.33061588
Bosnia and Herzegovina,BIH,2011,0.33030185
Botswana,BWA,1985,0.54212105
Botswana,BWA,1993,0.6079065
Botswana,BWA,2002,0.64731306
Botswana,BWA,2009,0.6045905
Botswana,BWA,2015,0.5332503
Brazil,BRA,1981,0.5793085
Brazil,BRA,1982,0.58417106
Brazil,BRA,1983,0.5898801
Brazil,BRA,1984,0.58376044
Brazil,BRA,1985,0.5558679
Brazil,BRA,1986,0.5846461
Brazil,BRA,1987,0.5969279
Brazil,BRA,1988,0.61428356
Brazil,BRA,1989,0.63295126
Brazil,BRA,1990,0.6048727
Brazil,BRA,1992,0.5317296
Brazil,BRA,1993,0.60118824
Brazil,BRA,1995,0.5956972
Brazil,BRA,1996,0.59888905
Brazil,BRA,1997,0.5979966
Brazil,BRA,1998,0.5960723
Brazil,BRA,1999,0.58991593
Brazil,BRA,2001,0.58413327
Brazil,BRA,2002,0.5811364
Brazil,BRA,2003,0.5756279
Brazil,BRA,2004,0.5647875
Brazil,BRA,2005,0.563163
Brazil,BRA,2006,0.5564732
Brazil,BRA,2007,0.5492774
Brazil,BRA,2008,0.5404328
Brazil,BRA,2009,0.5368723
Brazil,BRA,2011,0.5294759
Brazil,BRA,2012,0.53439856
Brazil,BRA,2013,0.5268654
Brazil,BRA,2014,0.5203314
Brazil,BRA,2015,0.51930827
Brazil,BRA,2016,0.53342843
Brazil,BRA,2017,0.5333405
Brazil,BRA,2018,0.53870946
Brazil,BRA,2019,0.5348577
Brazil,BRA,2020,0.4888038
Brazil,BRA,2021,0.52916694
Bulgaria,BGR,1989,0.23427184
Bulgaria,BGR,1992,0.3071431
Bulgaria,BGR,1994,0.2432197
Bulgaria,BGR,1995,0.32772338
Bulgaria,BGR,1997,0.2637824
Bulgaria,BGR,2001,0.32682163
Bulgaria,BGR,2003,0.28917906
Bulgaria,BGR,2006,0.35702574
Bulgaria,BGR,2007,0.28136343
Bulgaria,BGR,2008,0.33573127
Bulgaria,BGR,2009,0.33823198
Bulgaria,BGR,2010,0.35653573
Bulgaria,BGR,2011,0.34278607
Bulgaria,BGR,2012,0.36013922
Bulgaria,BGR,2013,0.36573645
Bulgaria,BGR,2014,0.37418568
Bulgaria,BGR,2015,0.38567346
Bulgaria,BGR,2016,0.40591064
Bulgaria,BGR,2017,0.40379047
Bulgaria,BGR,2018,0.412841
Bulgaria,BGR,2019,0.40271384
Bulgaria,BGR,2020,0.40523154
Burkina Faso,BFA,1994,0.48072493
Burkina Faso,BFA,1998,0.4994397
Burkina Faso,BFA,2003,0.43252513
Burkina Faso,BFA,2009,0.39762238
Burkina Faso,BFA,2014,0.35301226
Burkina Faso,BFA,2018,0.43016732
Burundi,BDI,1992,0.3333381
Burundi,BDI,1998,0.42316526
Burundi,BDI,2006,0.33359864
Burundi,BDI,2013,0.3862482
Cameroon,CMR,1996,0.44446757
Cameroon,CMR,2001,0.42136794
Cameroon,CMR,2007,0.42820063
Cameroon,CMR,2014,0.46640873
Canada,CAN,1971,0.37257144
Canada,CAN,1973,0.3491035
Canada,CAN,1975,0.34094694
Canada,CAN,1977,0.3373513
Canada,CAN,1979,0.3347417
Canada,CAN,1981,0.32966557
Canada,CAN,1982,0.32932413
Canada,CAN,1984,0.33520237
Canada,CAN,1985,0.33176625
Canada,CAN,1986,0.31680998
Canada,CAN,1987,0.31655663
Canada,CAN,1988,0.31201127
Canada,CAN,1989,0.3101912
Canada,CAN,1990,0.3137178
Canada,CAN,1991,0.31950226
Canada,CAN,1992,0.31567687
Canada,CAN,1993,0.31682763
Canada,CAN,1994,0.31308895
Canada,CAN,1995,0.31513026
Canada,CAN,1996,0.32768053
Canada,CAN,1997,0.33116943
Canada,CAN,1998,0.33217245
Canada,CAN,1999,0.33060935
Canada,CAN,2000,0.33418295
Canada,CAN,2001,0.33554783
Canada,CAN,2002,0.3356031
Canada,CAN,2003,0.33809465
Canada,CAN,2004,0.33776483
Canada,CAN,2005,0.33621806
Canada,CAN,2006,0.3409054
Canada,CAN,2007,0.33841008
Canada,CAN,2008,0.33930567
Canada,CAN,2009,0.33952153
Canada,CAN,2010,0.33592603
Canada,CAN,2011,0.32657078
Canada,CAN,2012,0.33539012
Canada,CAN,2013,0.3379898
Canada,CAN,2014,0.33157605
Canada,CAN,2015,0.33746484
Canada,CAN,2016,0.32701823
Canada,CAN,2017,0.33308205
Canada,CAN,2018,0.3250927
Canada,CAN,2019,0.31749648
Cape Verde,CPV,2001,0.524963
Cape Verde,CPV,2007,0.47187388
Cape Verde,CPV,2015,0.42381087
Central African Republic,CAF,1992,0.6133075
Central African Republic,CAF,2008,0.56236607
Central African Republic,CAF,2021,0.43046424
Chad,TCD,2003,0.3982457
Chad,TCD,2011,0.43321213
Chad,TCD,2018,0.37499154
Chile,CHL,1987,0.5621016
Chile,CHL,1990,0.572491
Chile,CHL,1992,0.5481449
Chile,CHL,1994,0.56433594
Chile,CHL,1996,0.5487368
Chile,CHL,1998,0.55522066
Chile,CHL,2000,0.5277201
Chile,CHL,2003,0.51489866
Chile,CHL,2006,0.47294816
Chile,CHL,2009,0.4699122
Chile,CHL,2011,0.4604835
Chile,CHL,2013,0.45831105
Chile,CHL,2015,0.44371328
Chile,CHL,2017,0.4444103
Chile,CHL,2020,0.4492094
China,CHN,1981,0.28164098
China,CHN,1984,0.271023
China,CHN,1987,0.29385957
China,CHN,1990,0.3222662
China,CHN,1993,0.338778
China,CHN,1996,0.3522766
China,CHN,1999,0.38703215
China,CHN,2002,0.41985723
China,CHN,2005,0.40900767
China,CHN,2008,0.4296504
China,CHN,2010,0.43744954
China,CHN,2011,0.42409223
China,CHN,2012,0.42237166
China,CHN,2013,0.397364
China,CHN,2014,0.39177653
China,CHN,2015,0.38595304
China,CHN,2016,0.38480517
China,CHN,2017,0.39075777
China,CHN,2018,0.38497642
China,CHN,2019,0.38168344
China,CHN,2020,0.37090832
China (rural),,1981,0.24729232
China (rural),,1984,0.2668613
China (rural),,1987,0.29451063
China (rural),,1990,0.3057347
China (rural),,1993,0.32126462
China (rural),,1996,0.3362044
China (rural),,1999,0.35389417
China (rural),,2002,0.38019353
China (rural),,2005,0.35849202
China (rural),,2008,0.3939905
China (rural),,2010,0.40607888
China (rural),,2011,0.38497448
China (rural),,2012,0.39497346
China (rural),,2013,0.33971012
China (rural),,2014,0.3375639
China (rural),,2015,0.33242807
China (rural),,2016,0.33179837
China (rural),,2017,0.34255987
China (rural),,2018,0.33541566
China (rural),,2019,0.3267486
China (rural),,2020,0.31574252
China (urban),,1981,0.18461858
China (urban),,1984,0.17791979
China (urban),,1987,0.20199354
China (urban),,1990,0.2559464
China (urban),,1993,0.2846636
China (urban),,1996,0.29089227
China (urban),,1999,0.31547564
China (urban),,2002,0.33461
China (urban),,2005,0.34798706
China (urban),,2008,0.35154307
