code,year,happiness,urbanization,corruption,food_insec,tax,indiv_libs,school,life_expect,yearly temp,hri,suicides,family,covid,war,hdi,rain,air_pollution,gini
AFG,2022,1.859,,,,,0.015,,,13.7530365,0.038,,,0.25067571346153844,3.642219,,,,
AFG,2021,2.4038,26.314,,28.4,,0.137,,61.9824,13.982875,0.175,,,0.28251936971153846,90.69948,0.478,,,
AFG,2020,2.5229,26.026,,22.6,6.760211,0.417,5.0528383,62.5751,12.358907,0.56,,,0.17822859402641508,53.391857,0.483,,,
AFG,2019,2.5669,25.754,,19.8,8.362843,0.365,,63.5645,12.955639,0.517,5.96,,,80.469696,0.488,327.0,16.609505,
AFG,2018,3.2033,25.495,16.0,17.3,9.173828,0.381,4.9497876,63.081,13.735786,0.558,5.91,,,73.11079,0.483,327.0,16.527699,
AFG,2017,3.6315,25.25,15.0,17.3,10.1876335,0.358,4.87,63.016,13.534083,0.537,5.95,,,55.384697,0.482,327.0,17.984146,
AFG,2016,3.794,25.02,15.0,15.1,9.837913,0.325,,63.1361,13.772996,0.514,6.01,,,53.914673,0.481,327.0,17.944328,
AFG,2015,3.36,24.803,11.0,14.8,7.874765,0.386,,62.6587,12.976933,0.553,5.99,,,53.108566,0.478,327.0,18.377846,
AFG,2014,3.575,24.587,12.0,,7.141338,0.374,,62.5451,12.295863,0.554,6.02,,,38.2043,0.479,327.0,18.807348,
AFG,2011,4.25835,23.948,,,9.359386,0.402,,61.4191,13.000847,0.577,6.42,,,25.846899,0.456,327.0,19.775244,
ALB,2022,5.2773,,,,,0.903,,,13.501849,0.873,,97.42949,0.1651656886653846,0.0,,,,
ALB,2021,5.1988,62.969,,7.5,24.741135,0.9,,76.4626,13.125365,0.878,,,0.8822996328076923,0.0,0.796,,,
ALB,2020,5.1174,62.112,,7.7,23.912548,0.899,8.953018,76.9893,13.342265,0.874,,,0.5981366303018868,0.0,0.794,,,0.2941963
ALB,2019,4.8827,61.229,,8.8,24.942486,0.916,,79.2825,13.521297,0.882,3.72,,,0.0,0.81,1485.0,9.543016,0.30115768
ALB,2018,4.7186,60.319,36.0,10.0,25.149136,0.901,8.851396,79.1838,13.70238,0.881,3.94,,,0.0,0.806,1485.0,9.718166,0.30148283
ALB,2017,4.586,59.383,38.0,11.0,,0.894,8.92,79.0473,13.111859,0.884,4.11,,,0.0,0.802,1485.0,9.87686,0.33055663
ALB,2016,4.644,58.421,39.0,10.5,23.537329,0.913,,78.8602,13.173279,0.891,4.17,,,0.0,0.798,1485.0,10.06132,0.33736297
ALB,2015,4.655,57.434,36.0,10.0,23.985617,0.913,,78.6441,13.216008,0.891,4.23,,,0.0,0.795,1485.0,10.272267,0.32753733
ALB,2014,4.959,56.423,33.0,,23.933598,0.913,,78.4075,13.130962,0.891,4.52,,,0.0,0.792,1485.0,10.508793,0.34598896
ALB,2011,5.133704,53.247,,,22.882267,0.884,,78.0919,12.611583,0.88,7.63,,,0.0,0.766,1485.0,11.276407,
DZA,2022,5.3291,,,,,0.514,,,24.677404,0.491,,,0.12258990598076923,0.022270113,,,,
DZA,2021,5.1223,74.261,,5.6,,0.514,,76.3767,25.22027,0.491,,,0.2184743755769231,0.029426435,0.745,,,
DZA,2020,4.8871,73.733,,6.2,,0.59,7.0915527,74.4528,24.726349,0.553,,,0.3165694865754717,0.06904223,0.736,,,
DZA,2019,5.0051,73.189,,6.9,,0.571,,76.4742,24.009596,0.587,2.6,,,0.0,0.748,89.0,10.728213,
DZA,2018,5.2113,72.629,35.0,9.3,,0.606,7.0480285,76.0656,24.166739,0.579,2.58,,,0.10732938,0.745,89.0,10.655122,
DZA,2017,5.2946,72.052,33.0,11.4,,0.601,6.84,75.7428,24.14788,0.585,2.54,,,0.23823097,0.744,89.0,10.628852,
DZA,2016,5.872,71.459,34.0,12.7,,0.61,,75.7318,24.712156,0.548,2.61,,,0.21071248,0.743,89.0,10.703443,
DZA,2015,6.355,70.848,36.0,13.0,,0.613,,75.622,23.892889,0.621,2.72,,,0.32369703,0.74,89.0,10.803463,
DZA,2014,5.605,70.221,36.0,,,0.606,,75.11,24.27183,0.617,2.78,93.08334,,0.2760566,0.735,89.0,10.7653675,
DZA,2011,5.367827,68.236,,,,0.576,,74.1234,23.751097,0.61,2.94,,,0.71421635,0.727,89.0,10.509482,0.27615732
AGO,2017,3.7948,64.839,19.0,,16.64086,0.531,4.11,61.6798,22.671217,0.548,12.364,,,0.07282686,0.597,1010.0,9.794801,
AGO,2016,3.795,64.149,18.0,,16.66509,0.46,,61.0923,22.886354,0.508,12.8709,,,0.0788894,0.596,1010.0,10.067264,
AGO,2015,3.866,63.446,15.0,21.0,22.88841,0.449,,60.6546,22.814539,0.505,13.2696,,,0.0,0.582,1010.0,10.436197,
