code,year,happiness,gdppc,urbanization,corruption,food_insec,tax,indiv_libs,school,life_expect,yearly temp,hri,suicides,family,covid,war,hdi,rain,air_pollution,gini,region,sub-region
AFG,2022,1.859,,,,,,0.015,,,13.7530365,0.038,,,0.2506757134615384,3.642219,,,,,Asia,Southern Asia
AFG,2021,2.4038,1516.27326544595,26.314,,28.4,,0.137,,61.9824,13.982875,0.175,,,0.2825193697115384,90.69948,0.478,,,,Asia,Southern Asia
AFG,2020,2.5229,1968.34100152117,26.026,,22.6,6.760211,0.417,5.0528383,62.5751,12.358907,0.56,,,0.178228594026415,53.391857,0.483,,,,Asia,Southern Asia
AFG,2019,2.5669,2079.92186098824,25.754,,19.8,8.362843,0.365,,63.5645,12.955639,0.517,5.96,,,80.469696,0.488,327.0,16.609505,,Asia,Southern Asia
AFG,2018,3.2033,2060.69897292797,25.495,16.0,17.3,9.173828,0.381,4.9497876,63.081,13.735786,0.558,5.91,,,73.11079,0.483,327.0,16.527699,,Asia,Southern Asia
AFG,2017,3.6315,2096.09311055337,25.25,15.0,17.3,10.1876335,0.358,4.87,63.016,13.534083,0.537,5.95,,,55.384697,0.482,327.0,17.984146,,Asia,Southern Asia
AFG,2016,3.794,2101.42218654808,25.02,15.0,15.1,9.837913,0.325,,63.1361,13.772996,0.514,6.01,,,53.914673,0.481,327.0,17.944328,,Asia,Southern Asia
AFG,2015,3.36,2108.71417281187,24.803,11.0,14.8,7.874765,0.386,,62.6587,12.976933,0.553,5.99,,,53.108566,0.478,327.0,18.377846,,Asia,Southern Asia
AFG,2014,3.575,2144.44963352064,24.587,12.0,,7.141338,0.374,,62.5451,12.295863,0.554,6.02,,,38.2043,0.479,327.0,18.807348,,Asia,Southern Asia
AFG,2011,4.25835,1961.09631655741,23.948,,,9.359386,0.402,,61.4191,13.000847,0.577,6.42,,,25.846899,0.456,327.0,19.775244,,Asia,Southern Asia
ALB,2022,5.2773,15491.9610024673,,,,,0.903,,,13.501849,0.873,,97.42949,0.1651656886653846,0.0,,,,,Europe,Southern Europe
ALB,2021,5.1988,14595.915310896,62.969,,7.5,24.741135,0.9,,76.4626,13.125365,0.878,,,0.8822996328076923,0.0,0.796,,,,Europe,Southern Europe
ALB,2020,5.1174,13278.3433182533,62.112,,7.7,23.912548,0.899,8.953018,76.9893,13.342265,0.874,,,0.5981366303018868,0.0,0.794,,,0.2941963,Europe,Southern Europe
ALB,2019,4.8827,13653.1550103049,61.229,,8.8,24.942486,0.916,,79.2825,13.521297,0.882,3.72,,,0.0,0.81,1485.0,9.543016,0.30115768,Europe,Southern Europe
ALB,2018,4.7186,13317.0927360367,60.319,36.0,10.0,25.149136,0.901,8.851396,79.1838,13.70238,0.881,3.94,,,0.0,0.806,1485.0,9.718166,0.30148283,Europe,Southern Europe
ALB,2017,4.586,12770.9664236798,59.383,38.0,11.0,,0.894,8.92,79.0473,13.111859,0.884,4.11,,,0.0,0.802,1485.0,9.87686,0.33055663,Europe,Southern Europe
ALB,2016,4.644,12291.8175748981,58.421,39.0,10.5,23.537329,0.913,,78.8602,13.173279,0.891,4.17,,,0.0,0.798,1485.0,10.06132,0.33736297,Europe,Southern Europe
