"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32278.8685393189","33744.1087975733","34544.0606470663","35957.8159729643","37683.9177094954","37470.1738672955","36784.4607908541","38202.4077520308","37810.0348233165","37171.2204265694","39001.7270747746","39920.4040124401","39073.5557379146","39115.3823702548","41591.9203519237","41019.0420700003","40994.2489026891","41745.1159360396","41986.9803325229","36629.3278512996","35227.2073401191","36073.6394301224","35410.1159159894","37406.1735215139","36558.972837232","36099.9426361964","36504.6887306899","38868.3339230867","39597.6598760426","38511.3368756791","29236.0472636614","37333.515684923","41273.6150545168","",
"Africa Eastern and Southern","AFE","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3045.45764446057","2963.58547077362","2831.23648875325","2744.83931523073","2722.1512627896","2771.4295690135","2845.89039727267","2893.97105977247","2875.39767693849","2881.0166024678","2904.55477452853","2935.73942730948","2973.92347926152","2993.96131713465","3083.93099059233","3193.96090805111","3319.49754522917","3450.14907027991","3511.13220831796","3440.12481837926","3522.49732699491","3567.51928311431","3553.2630713146","3602.67661844171","3652.77299077274","3668.4002785427","3664.81070763535","3670.97202188547","3672.75083148151","3658.12849259959","3467.48469974279","3531.17274665243","3566.2694388184","",
"Afghanistan","AFG","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1280.46317065778","1292.33343722938","1260.06058051982","1352.3206265475","1366.99314578093","1528.34457777944","1556.84445154502","1823.74261448512","2026.16381797997","1961.09631655741","2122.83075870676","2165.3409147556","2144.44963352064","2108.71417281187","2101.42218654808","2096.09311055337","2060.69897292797","2079.92186098824","1968.34100152117","1516.27326544595","","",
"Africa Western and Central","AFW","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2790.2641569427","2752.7154489152","2745.70770791903","2646.35508616197","2576.74760006562","2563.40597319756","2614.00663424508","2656.29202326269","2678.38655836544","2651.3715863723","2673.40996620457","2736.05499195289","2909.80397854025","2984.55437332112","3130.10670848416","3219.47083898688","3298.75886816979","3381.24406976315","3493.26864502","3601.14054377625","3739.31376463879","3813.42431793327","3903.40591674544","4027.81419876624","4148.49595073136","4152.50664636905","4060.34507145274","4054.5724534869","4068.32112157323","4096.82736275464","3960.84789826707","4016.8744613612","4066.48323031556","",
"Angola","AGO","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5793.08451204045","5659.11932966026","5158.38383522696","3799.19489892034","3728.88619855212","4149.44573355063","4557.14777393147","4728.29234231606","4790.4186097768","4739.50963904534","4728.37436813592","4768.00889397813","5241.82058742633","5217.39051918638","5589.23793596591","6204.58875156972","6677.01973976917","7340.38890931744","7866.1843443608","7646.14435760809","7689.82073536757","7663.28605266516","8011.05009506366","8099.67882846483","8183.1645766116","7966.88555561333","7487.92509764052","7216.06137267002","6878.59002526807","6602.26921128365","6029.69189495339","5911.83565738445","5906.11567677033","",
"Albania","ALB","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4827.01808967191","3496.36266112256","3264.81425332006","3598.80309790861","3921.60715835156","4471.59279466002","4908.92261344772","4400.30398852614","4819.05823282872","5474.83900826403","5892.57045311397","6441.42786683557","6753.86773668616","7153.98114870525","7580.11301472565","8040.06536122962","8568.53266515493","9150.09859358523","9912.12872526348","10313.8811659785","10749.4450134566","11052.7559176482","11227.9280414412","11361.2298602638","11586.7943649919","11878.4139402813","12291.8175748981","12770.9664236798","13317.0927360367","13653.1550103049","13278.3433182533","14595.915310896","15491.9610024673","",
"Andorra","AND","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9725.49275105331","9767.68229489888","9986.82902579931","9978.11398628011","9997.40275935286","10020.1768745662","10239.8842924892","10441.5322620021","10732.848585727","10702.9485875764","11134.3242675068","11082.3647434048","10908.7166508916","11202.0153833863","11888.6468912851","12249.6658884373","12640.7831232248","12869.6867391643","13228.5255782535","12952.2430021912","13221.8327978823","13382.1704349688","13802.1480484325","13850.2482144111","13886.8964589512","14162.7487710634","14402.9511798903","14350.102694487","14436.2441879662","14371.5236244749","13479.2104242739","13780.7809652721","14366.299253919","",
"United Arab Emirates","ARE","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109694.560619089","104675.727403332","102664.120286693","98953.2016310618","100974.773351664","103082.164632347","103177.743182764","104580.435759302","98601.8770736456","95684.2896323969","100311.705929017","96448.1462596989","93915.9274791211","97363.6254773994","101872.122418625","99640.6944505134","95637.4149287203","82321.4471464728","71383.0444901031","59144.1403342053","56626.7375061677","59491.3758343339","59949.2445755139","62354.8232015733","64334.0915515339","68076.6358921929","71244.585812911","71182.3707145056","71550.5543294766","71782.1538368191","67668.2866393681","70028.0250549154","74917.674109094","",
"Argentina","ARG","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14136.5254005803","15209.4876309646","16190.510705998","17282.9649904397","18046.8929182229","17303.9238485647","18031.5481912295","19261.8986222468","19773.1763655293","18884.9431117375","18524.8096075258","17514.5041008813","15439.7446333669","16631.5739769268","17950.1512818383","19338.1461909357","20679.243097676","22316.2555259104","22992.390179143","21413.2831164661","23521.2701750961","24647.6292739541","24118.8675158912","24424.1364465071","23550.0990599374","23933.8866120953","23189.5274451329","23597.117752839","22747.2416575831","22071.7480998394","19694.5605233461","21599.7967368023","22461.44094262","",
