Entity,Code,Year,Learning-Adjusted Years of School
Afghanistan,AFG,2017,4.87
Afghanistan,AFG,2018,4.9497876
Afghanistan,AFG,2020,5.0528383
Albania,ALB,2010,7.3824778
Albania,ALB,2017,8.92
Albania,ALB,2018,8.851396
Albania,ALB,2020,8.953018
Algeria,DZA,2010,7.2022004
Algeria,DZA,2017,6.84
Algeria,DZA,2018,7.0480285
Algeria,DZA,2020,7.0915527
Angola,AGO,2017,4.11
Angola,AGO,2018,4.2349777
Angola,AGO,2020,4.2349777
Antigua and Barbuda,ATG,2018,8.093484
Antigua and Barbuda,ATG,2020,8.444422
Argentina,ARG,2010,8.238216
Argentina,ARG,2017,8.87
Argentina,ARG,2018,8.739134
Argentina,ARG,2020,8.41131
Armenia,ARM,2017,7.86
Armenia,ARM,2018,8.07041
Armenia,ARM,2020,7.994621
Australia,AUS,2010,11.056325
Australia,AUS,2017,11.55
Australia,AUS,2018,11.40922
Australia,AUS,2020,11.222505
Austria,AUT,2010,10.845024
Austria,AUT,2017,11.67
Austria,AUT,2018,11.275588
Austria,AUT,2020,10.906205
Azerbaijan,AZE,2010,6.878968
Azerbaijan,AZE,2017,8.75
Azerbaijan,AZE,2018,9.373489
Azerbaijan,AZE,2020,8.281513
Bahrain,BHR,2010,8.422845
Bahrain,BHR,2017,9.6
Bahrain,BHR,2018,9.518841
Bahrain,BHR,2020,9.286839
Bangladesh,BGD,2017,6.5
Bangladesh,BGD,2018,5.9978147
Bangladesh,BGD,2020,5.989421
Belarus,BLR,2020,10.784273
Belgium,BEL,2010,11.161227
Belgium,BEL,2017,11.14
Belgium,BEL,2018,11.240353
Belgium,BEL,2020,11.183289
Benin,BEN,2010,4.9740124
Benin,BEN,2017,5.73
Benin,BEN,2018,5.64372
Benin,BEN,2020,5.6664166
Bhutan,BTN,2020,6.3267903
Bosnia and Herzegovina,BIH,2017,8.64
Bosnia and Herzegovina,BIH,2018,8.638537
Bosnia and Herzegovina,BIH,2020,7.801883
Botswana,BWA,2010,5.109524
Botswana,BWA,2017,5.27
Botswana,BWA,2018,5.074523
Botswana,BWA,2020,5.0830455
Brazil,BRA,2010,7.648079
Brazil,BRA,2017,7.63
Brazil,BRA,2018,7.774814
Brazil,BRA,2020,7.8728395
Brunei,BRN,2020,9.218924
Bulgaria,BGR,2010,9.222812
Bulgaria,BGR,2017,10.29
Bulgaria,BGR,2018,9.80042
Bulgaria,BGR,2020,8.687309
Burkina Faso,BFA,2010,3.1555173
Burkina Faso,BFA,2017,4.2
Burkina Faso,BFA,2018,4.3516855
Burkina Faso,BFA,2020,4.5330615
Burundi,BDI,2010,4.3617525
Burundi,BDI,2017,5.08
Burundi,BDI,2018,5.3796825
Burundi,BDI,2020,5.1646743
Cambodia,KHM,2017,6.9
Cambodia,KHM,2018,6.8543167
Cambodia,KHM,2020,6.8439803
Cameroon,CMR,2010,5.451394
Cameroon,CMR,2017,5.5
Cameroon,CMR,2018,5.2889247
Cameroon,CMR,2020,5.2868743
Canada,CAN,2010,11.427462
Canada,CAN,2017,11.74
Canada,CAN,2018,11.784588
Canada,CAN,2020,11.724046
Central African Republic,CAF,2020,2.6961548
Chad,TCD,2010,2.7752626
Chad,TCD,2017,2.64
Chad,TCD,2018,2.872748
Chad,TCD,2020,2.830429
Chile,CHL,2010,9.021066
Chile,CHL,2017,9.57
Chile,CHL,2018,9.688812
Chile,CHL,2020,9.40743
China,CHN,2017,9.67
China,CHN,2018,9.171392
China,CHN,2020,9.270027
Colombia,COL,2010,8.228467
Colombia,COL,2017,8.46
Colombia,COL,2018,8.520751
Colombia,COL,2020,8.622162
Comoros,COM,2017,5.3
Comoros,COM,2018,5.0643597
Comoros,COM,2020,5.12939
Congo,COG,2010,5.595566
Congo,COG,2017,5.22
Congo,COG,2018,5.2851167
Congo,COG,2020,5.2851167
Costa Rica,CRI,2010,8.448671
Costa Rica,CRI,2017,8.58
Costa Rica,CRI,2018,8.500433
Costa Rica,CRI,2020,8.993311
Cote d'Ivoire,CIV,2010,3.0248766
Cote d'Ivoire,CIV,2017,4.21
Cote d'Ivoire,CIV,2018,4.55083
Cote d'Ivoire,CIV,2020,4.811591
Croatia,HRV,2010,10.321753
Croatia,HRV,2017,10.75
Croatia,HRV,2018,10.809689
Croatia,HRV,2020,10.446162
Cyprus,CYP,2010,9.809347
Cyprus,CYP,2017,10.87
Cyprus,CYP,2018,10.91709
Cyprus,CYP,2020,10.91709
Czechia,CZE,2010,10.843941
Czechia,CZE,2017,11.65
Czechia,CZE,2018,11.33578
Czechia,CZE,2020,11.116524
Democratic Republic of Congo,COD,2017,4.67
Democratic Republic of Congo,COD,2018,4.5322757
Democratic Republic of Congo,COD,2020,4.5322757
Denmark,DNK,2010,11.091454
Denmark,DNK,2017,11.42
Denmark,DNK,2018,11.37422
Denmark,DNK,2020,11.098828
Dominica,DMA,2018,8.159858
Dominica,DMA,2020,8.008872
Dominican Republic,DOM,2017,6.33
Dominican Republic,DOM,2018,6.6819587
Dominican Republic,DOM,2020,6.558533
East Timor,TLS,2010,5.5983944
East Timor,TLS,2017,5.86
East Timor,TLS,2018,6.2931814
East Timor,TLS,2020,6.292721
Ecuador,ECU,2010,7.336009
Ecuador,ECU,2017,8.86
Ecuador,ECU,2018,8.754255
Ecuador,ECU,2020,8.69649
Egypt,EGY,2010,6.486408
Egypt,EGY,2017,6.34
Egypt,EGY,2018,6.504568
Egypt,EGY,2020,6.5293627
El Salvador,SLV,2017,6.55
El Salvador,SLV,2018,7.6339335
El Salvador,SLV,2020,7.6372886
Estonia,EST,2010,11.240217
Estonia,EST,2017,11.36
Estonia,EST,2018,11.6930065
Estonia,EST,2020,11.719313
Eswatini,SWZ,2010,4.089244
Eswatini,SWZ,2017,5.74
Eswatini,SWZ,2018,4.5254297
Eswatini,SWZ,2020,4.5254297
Ethiopia,ETH,2017,4.51
Ethiopia,ETH,2018,4.4886994
Ethiopia,ETH,2020,4.3491125
Fiji,FJI,2020,6.951136
Finland,FIN,2010,12.208893
Finland,FIN,2017,12.05
Finland,FIN,2018,12.047586
Finland,FIN,2020,11.738752
France,FRA,2010,11.24583
France,FRA,2017,11.3
France,FRA,2018,11.17285
France,FRA,2020,11.2687235
