Entity,Code,Year,Very important in life: Family,Continent
Abkhazia,OWID_ABK,2015,,Asia
Afghanistan,AFG,2015,,Asia
Akrotiri and Dhekelia,OWID_AKD,2015,,Asia
Aland Islands,ALA,2015,,Europe
Albania,ALB,1998,95.7958,
Albania,ALB,2004,95.9,
Albania,ALB,2010,89.58228,
Albania,ALB,2022,97.42949,
Albania,ALB,2015,,Europe
Algeria,DZA,2004,94.38377,
Algeria,DZA,2014,93.08334,
Algeria,DZA,2015,,Africa
American Samoa,ASM,2015,,Oceania
Andorra,AND,2010,86.66506,
Andorra,AND,2022,89.54183,
Andorra,AND,2015,,Europe
Angola,AGO,2015,,Africa
Anguilla,AIA,2015,,North America
Antarctica,ATA,2015,,Antarctica
Antigua and Barbuda,ATG,2015,,North America
Argentina,ARG,1993,91.31737,
Argentina,ARG,1998,86.56856,
Argentina,ARG,2004,90.18607,
Argentina,ARG,2010,91.42648,
Argentina,ARG,2014,88.90441,
Argentina,ARG,2022,91.68552,
Argentina,ARG,2015,,South America
Armenia,ARM,1998,86,
Armenia,ARM,2010,93.49959,
Armenia,ARM,2014,97.18008,
Armenia,ARM,2022,91.74661,
Armenia,ARM,2015,,Asia
Aruba,ABW,2015,,North America
Australia,AUS,1998,90.16722,
Australia,AUS,2010,93.687,
Australia,AUS,2014,92.52824,
Australia,AUS,2022,90.15292,
Australia,AUS,2015,,Oceania
Austria,AUT,1993,83.773,
Austria,AUT,2004,88.49329,
Austria,AUT,2010,78.59515,
Austria,AUT,2022,82.3139,
Austria,AUT,2015,,Europe
Austria-Hungary,OWID_AUH,2015,,Europe
Azerbaijan,AZE,1998,84.66534,
Azerbaijan,AZE,2014,93.8623,
Azerbaijan,AZE,2022,90.70794,
Azerbaijan,AZE,2015,,Asia
Baden,OWID_BAD,2015,,Europe
Bahamas,BHS,2015,,North America
Bahrain,BHR,2015,,Asia
Bangladesh,BGD,1998,94.22951,
Bangladesh,BGD,2004,96.66666,
Bangladesh,BGD,2022,98.58334,
Bangladesh,BGD,2015,,Asia
Barbados,BRB,2015,,North America
Bavaria,OWID_BAV,2015,,Europe
Belarus,BLR,1993,75.5665,
Belarus,BLR,1998,83.79541,
Belarus,BLR,2004,77.7,
Belarus,BLR,2010,80.72135,
Belarus,BLR,2014,88.31913,
Belarus,BLR,2022,88.68723,
Belarus,BLR,2015,,Europe
Belgium,BEL,1993,82.66386,
Belgium,BEL,2004,86.53582,
Belgium,BEL,2010,87.00657,
Belgium,BEL,2015,,Europe
Belize,BLZ,2015,,North America
Benin,BEN,2015,,Africa
Bermuda,BMU,2015,,North America
Bhutan,BTN,2015,,Asia
Bolivia,BOL,2022,80.93856,
Bolivia,BOL,2015,,South America
Bonaire Sint Eustatius and Saba,BES,2015,,North America
Bosnia and Herzegovina,BIH,1998,97,
Bosnia and Herzegovina,BIH,2004,98.66667,
Bosnia and Herzegovina,BIH,2010,75.70203,
Bosnia and Herzegovina,BIH,2022,92.41127,
Bosnia and Herzegovina,BIH,2015,,Europe
Botswana,BWA,2015,,Africa
Bouvet Island,BVT,2015,,Antarctica
Brazil,BRA,1993,90.38837,
Brazil,BRA,1998,92.56343,
Brazil,BRA,2010,86.3786,
Brazil,BRA,2014,87.41514,
Brazil,BRA,2022,85.32112,
Brazil,BRA,2015,,South America
British Indian Ocean Territory,IOT,2015,,Asia
British Virgin Islands,VGB,2015,,North America
Brunei,BRN,2015,,Asia
Bulgaria,BGR,1993,75.33849,
Bulgaria,BGR,1998,87.87314,
Bulgaria,BGR,2004,82.33799,
Bulgaria,BGR,2010,86.72816,
Bulgaria,BGR,2022,87.09793,
Bulgaria,BGR,2015,,Europe
Burkina Faso,BFA,2010,94.71968,
Burkina Faso,BFA,2015,,Africa
Burundi,BDI,2015,,Africa
Cambodia,KHM,2015,,Asia
Cameroon,CMR,2015,,Africa
Canada,CAN,1993,91.29964,
Canada,CAN,2004,93.86192,
Canada,CAN,2010,92.41625,
Canada,CAN,2022,79.25422,
Canada,CAN,2015,,North America
Cape Verde,CPV,2015,,Africa
Cayman Islands,CYM,2015,,North America
Central African Republic,CAF,2015,,Africa
Chad,TCD,2015,,Africa
Channel Islands,OWID_CIS,2015,,Europe
Chile,CHL,1993,85.06667,
Chile,CHL,1998,88.82121,
Chile,CHL,2004,96.42556,
Chile,CHL,2010,90.18758,
Chile,CHL,2014,91.7,
Chile,CHL,2022,91.43369,
Chile,CHL,2015,,South America
China,CHN,1993,62,
China,CHN,1998,76.46667,
China,CHN,2004,60.2,
China,CHN,2010,78.08228,
China,CHN,2014,85.66525,
China,CHN,2022,86.15168,
China,CHN,2015,,Asia
Christmas Island,CXR,2015,,Asia
Cocos Islands,CCK,2015,,Asia
Colombia,COL,1998,86.0083,
Colombia,COL,2014,85.11904,
Colombia,COL,2022,80.65789,
Colombia,COL,2015,,South America
Comoros,COM,2015,,Africa
Congo,COG,2015,,Africa
Cook Islands,COK,2015,,Oceania
Costa Rica,CRI,2015,,North America
Cote d'Ivoire,CIV,2015,,Africa
Croatia,HRV,1998,85.20067,
Croatia,HRV,2004,78.37475,
Croatia,HRV,2010,75.44186,
Croatia,HRV,2022,81.76894,
Croatia,HRV,2015,,Europe
Cuba,CUB,2015,,North America
Curacao,CUW,2015,,North America
Cyprus,CYP,2010,93.35319,
Cyprus,CYP,2014,92.47786,
Cyprus,CYP,2022,94.17119,
Cyprus,CYP,2015,,Europe
Czechia,CZE,1993,86.35015,
Czechia,CZE,1998,90.84569,
Czechia,CZE,2004,84.45248,
Czechia,CZE,2010,77.58678,
Czechia,CZE,2022,82.6226,
Czechia,CZE,2015,,Europe
Czechoslovakia,OWID_CZS,2015,,Europe
Democratic Republic of Congo,COD,2015,,Africa
Denmark,DNK,1993,87.96117,
Denmark,DNK,2004,86.99902,
Denmark,DNK,2010,87.23186,
Denmark,DNK,2022,87.56867,
Denmark,DNK,2015,,Europe
Djibouti,DJI,2015,,Africa
Dominica,DMA,2015,,North America
Dominican Republic,DOM,1998,85.1319,
Dominican Republic,DOM,2015,,North America
East Germany,OWID_GDR,2015,,Europe
East Timor,TLS,2015,,Asia
Ecuador,ECU,2014,98.58569,
Ecuador,ECU,2022,87.48958,
Ecuador,ECU,2015,,South America
Egypt,EGY,2004,96.43333,
Egypt,EGY,2010,97.6619,
Egypt,EGY,2014,97.35681,
Egypt,EGY,2022,99.66666,
Egypt,EGY,2015,,Africa
El Salvador,SLV,1998,96.57098,
El Salvador,SLV,2015,,North America
Equatorial Guinea,GNQ,2015,,Africa
Eritrea,ERI,2015,,Africa
Estonia,EST,1993,67.85714,
Estonia,EST,1998,77.66895,
Estonia,EST,2004,67.52402,
Estonia,EST,2010,73.78743,
Estonia,EST,2014,88.03404,
Estonia,EST,2022,84.81508,
Estonia,EST,2015,,Europe
Eswatini,SWZ,2015,,Africa
Ethiopia,ETH,2010,92.66666,
Ethiopia,ETH,2022,94.87804,
Ethiopia,ETH,2015,,Africa
Ethiopia (former),OWID_ERE,2015,,Africa
Falkland Islands,FLK,2015,,South America
Faroe Islands,FRO,2015,,Europe
Fiji,FJI,2015,,Oceania
Finland,FIN,1993,82.48299,
Finland,FIN,1998,80.44579,
Finland,FIN,2004,79.64506,
Finland,FIN,2010,85.66457,
Finland,FIN,2022,83.42238,
Finland,FIN,2015,,Europe
France,FRA,1993,81.43713,
France,FRA,2004,87.4973,
France,FRA,2010,87.76011,
France,FRA,2022,85.3784,
France,FRA,2015,,Europe
French Guiana,GUF,2015,,South America
French Polynesia,PYF,2015,,Oceania
